ProductID,PreservationMethod,FoodType,NutrientRetention,ShelfLife
4,Drying,Fruit,87.62,88.71
5,Freezing,Meat,54.56,131.56
6,Drying,Vegetable,77.48,54.03
7,Drying,Fruit,67.55,100.43
8,Freezing,Vegetable,91.85,99.21
9,Canning,Meat,71.30,124.45
0,Freezing,Vegetable,94.59,40.86
1,Freezing,Fruit,61.66,161.81
2,Freezing,Fruit,94.02,48.23
3,Drying,Fruit,79.59,48.97
4,Drying,Meat,88.86,71.31
5,Drying,Vegetable,95.32,38.13
6,Drying,Fruit,50.57,118.74
7,Canning,Fruit,91.14,88.39
8,Drying,Fruit,61.88,134.92
9,Freezing,Fruit,93.43,46.83
0,Canning,Vegetable,50.61,180.98
1,Freezing,Meat,94.56,73.28
2,Drying,Fruit,62.65,181.92
3,Freezing,Vegetable,58.31,100.95
4,Drying,Meat,99.79,92.53
5,Drying,Meat,52.27,98.71
6,Canning,Fruit,63.87,106.08
7,Canning,Vegetable,61.47,113.81
8,Freezing,Fruit,63.00,145.55
9,Drying,Fruit,63.99,141.25
0,Freezing,Fruit,56.66,78.57
1,Canning,Vegetable,70.83,185.85
2,Freezing,Vegetable,54.14,181.24
3,Drying,Fruit,58.24,128.57
4,Canning,Fruit,74.02,267.50
5,Drying,Fruit,87.48,57.18
6,Drying,Meat,78.45,28.02
7,Freezing,Meat,56.69,69.93
8,Drying,Vegetable,84.59,66.05
9,Freezing,Vegetable,95.66,79.07
0,Freezing,Fruit,87.85,56.23
1,Freezing,Vegetable,60.25,109.42
2,Freezing,Fruit,60.36,202.31
3,Canning,Meat,55.68,158.42
4,Canning,Vegetable,88.62,68.07
5,Freezing,Vegetable,98.40,37.35
6,Drying,Fruit,79.50,58.20
7,Drying,Meat,89.23,78.12
8,Drying,Meat,95.16,81.41
9,Canning,Vegetable,80.40,70.19
0,Drying,Meat,54.55,162.54
1,Freezing,Vegetable,72.55,248.88
2,Canning,Meat,76.18,70.69
3,Freezing,Vegetable,96.33,71.56
4,Freezing,Vegetable,81.04,49.65
5,Canning,Meat,78.98,47.97
6,Drying,Fruit,73.01,192.20
7,Drying,Vegetable,84.88,39.22
8,Freezing,Meat,93.72,71.57
9,Canning,Fruit,59.61,77.51
0,Freezing,Vegetable,63.93,104.44
1,Freezing,Vegetable,56.03,130.49
2,Canning,Vegetable,68.21,165.99
3,Freezing,Meat,51.97,164.14
4,Freezing,Vegetable,54.09,180.67
5,Drying,Fruit,50.13,166.80
6,Freezing,Meat,59.23,101.45
7,Drying,Vegetable,61.81,189.24
8,Canning,Vegetable,87.37,29.10
9,Drying,Meat,84.36,89.42
0,Drying,Meat,51.52,171.30
1,Canning,Meat,69.86,101.78
2,Drying,Fruit,59.11,152.62
3,Freezing,Meat,54.46,136.78
4,Freezing,Fruit,67.15,158.55
5,Canning,Meat,82.44,60.32
6,Drying,Vegetable,79.34,77.03
7,Freezing,Meat,68.94,139.72
8,Canning,Vegetable,62.22,150.61
9,Canning,Fruit,96.68,29.66
0,Freezing,Vegetable,68.27,163.51
1,Canning,Meat,54.39,172.67
2,Drying,Fruit,54.01,134.22
3,Freezing,Meat,94.83,77.61
4,Drying,Meat,90.85,48.34
5,Canning,Meat,91.04,86.18
6,Drying,Vegetable,64.00,197.45
7,Canning,Vegetable,66.18,148.41
8,Freezing,Fruit,76.49,71.64
9,Canning,Vegetable,79.06,34.70
0,Freezing,Meat,79.69,50.39
1,Canning,Fruit,53.17,192.76
2,Freezing,Vegetable,54.39,83.77
3,Freezing,Fruit,55.83,131.73
4,Canning,Meat,89.71,35.53
5,Freezing,Vegetable,87.30,58.29
